,source_language,split,target_language
2783,she is a reliable person .,val,on peut compter sur elle.
2784,"i am not sure , but i think i want to be a teacher .",val,"je ne suis pas sã»r, mais je pense vouloir ãªtre enseignant."
2785,"you are n't going to tell my parents , are you ?",val,"vous n'allez pas le dire ã  mes parents, n'est-ce pas ?"
2786,you are very brave .,val,vous ãªtes trã¨s courageuses.
2787,they are not tired .,val,elles ne sont pas fatiguã©es.
2788,she is crying .,val,elle est en train de pleurer.
2789,she is curt .,val,elle n'a pas de charme.
2790,he is not much of an artist .,val,il n'est pas vraiment un artiste.
2791,he is always full of ideas .,val,il est toujours plein d'idã©es.
2792,he is in good physical condition .,val,il est en bonne condition physique.
2793,he is inclined to argue at great length .,val,il a tendance ã  fournir beaucoup d'efforts pour argumenter.
2794,he is always reading .,val,il est toujours en train de lire.
2795,she is a chatterbox .,val,c'est un moulin ã  parole.
2796,she is a very intelligent young lady .,val,c'est une jeune femme trã¨s intelligente.
2797,you are deceiving yourself .,val,vous vous leurrez.
2798,i am tired of listening to his long speech .,val,je suis fatiguã©e d'ã©couter son long discours.
2799,she is anxious to meet you .,val,elle est trã¨s dã©sireuse de te rencontrer.
2800,i am looking for room with twin beds .,val,je suis ã  la recherche d'une chambre avec des lits jumeaux.
2801,she is likely to live to be one hundred .,val,il y a des chances pour qu'elle vive 100 ans.
2802,he is like a father to me .,val,il est comme un pã¨re pour moi.
2803,we are going to have a party on saturday night .,val,nous allons faire une fãªte samedi soir.
2804,he is blind in one eye .,val,il est borgne.
2805,i am never at home on sundays .,val,je ne suis jamais ã  la maison le dimanche.
2806,"he is well off , so he does n't worry about money .",val,il est financiã¨rement ã  lâ€™aise et ne se soucie donc pas dâ€™argent.
2807,he is a compulsive gambler .,val,c'est un joueur invã©tã©rã©.
2808,he is lazy .,val,il est paresseux.
2809,he is likely to win the game .,val,il a des chances de gagner le jeu.
2810,he is always complaining .,val,il se plaint tout le temps.
2811,he is by far the best student .,val,il est de loin le meilleur ã©lã¨ve.
2812,you are no better at remembering things than i am .,val,tu n'es pas meilleur que moi pour te souvenir de choses.
2813,he is by no means bright .,val,il n'est pas du tout brillant.
2814,he is going to study english next week .,val,il va ã©tudier l'anglais la semaine prochaine.
2815,you are to blame .,val,vous ãªtes responsable.
2816,they are aware of the difficulties .,val,ils sont conscients des difficultã©s.
2817,i am not pleased with what you have done .,val,je ne suis pas content de ce que vous avez fait.
2818,she is married to an american .,val,elle est mariã©e ã  un amã©ricain.
2819,they are very compatible .,val,elles sont trã¨s compatibles.
2820,she is anxious about her father 's health .,val,elle s'inquiã¨te de la santã© de son pã¨re.
2821,she is not always happy .,val,elle n'est pas toujours heureuse.
2822,she is herself again .,val,elle est ã  nouveau elle-mãªme.
2823,he is apt to forget his promise .,val,il est susceptible d'oublier sa promesse.
2824,i am so sick .,val,c'est moi qui suis tellement malade.
2825,you are too young to travel alone .,val,vous ãªtes trop jeunes pour voyager seuls.
2826,they are very big .,val,ils sont trã¨s grands.
2827,they are fascinated by blood and violence .,val,ils sont fascinã©s par le sang et la violence.
2828,"he is n't at home , is he ?",val,"il n'est pas ã  la maison, n'est-ce pasâ€¯?"
2829,i am a bit drunk .,val,je suis un peu ivre.
2830,he is a man of wealth .,val,c'est un homme riche.
2831,i am on duty now .,val,maintenant je suis en service.
2832,she is wearing an expensive necklace .,val,elle porte un collier de prix.
2833,you are now an adult .,val,tu es dã©sormais un adulte.
2834,he is a student at harvard .,val,il est ã©tudiant ã  harvard.
2835,you are n't likely to find that word in a dictionary that 's this small .,val,il est improbable que tu trouves ce mot dans un dictionnaire aussi petit.
2836,you are n't ready for this .,val,vous n'ãªtes pas prãªts pour ceci.
2837,she is absorbed in rock music .,val,elle baigne dans le rock.
2838,she is trying to lose weight .,val,elle essaie de perdre du poids.
2839,he is a promising young man .,val,c'est un jeune homme prometteur.
2840,i am not always free on sundays .,val,je ne suis pas toujours libre le dimanche.
2841,i amused myself .,val,je me suis amusã©.
2842,i am looking forward to your letter .,val,j'attends impatiemment ta lettre.
2843,i am losing my patience with you .,val,je perds patience avec toi.
2844,he is impatient to see you .,val,il est impatient de te voir.
2845,he is watching tv .,val,il regarde la tv.
2846,we are busy people .,val,nous sommes des gens occupã©s.
2847,i am terribly afraid of snakes .,val,j'ai une peur terrible des serpents.
2848,you are cleared for takeoff .,val,votre dã©collage est confirmã©.
2849,she is a poor cook .,val,c'est une piã¨tre cuisiniã¨re.
2850,i am afraid to jump over the ditch .,val,j'ai peur de sauter par-dessus le fossã©.
2851,they are looking to you for help .,val,ils attendent que vous les aidiez.
2852,"you are curious , are n't you ?",val,"tu es curieuse, non ?"
2853,he is too old to try it .,val,il est trop vieux pour essayer ã§a.
2854,she is awkward .,val,elle est maladroite.
2855,they are very big .,val,ils sont trã¨s massifs.
2856,he is as tall as my brother .,val,il est aussi grand que mon frã¨re.
2857,you are n't the easiest person to live with .,val,tu n'es pas la personne la plus facile ã  vivre.
2858,he is about your age .,val,il a environ votre ã¢ge.
2859,"he is poor , but happy .",val,"il est pauvre, mais heureux."
2860,she is always complaining of her job .,val,elle se plaint toujours de son travail.
2861,you are not to leave this room .,val,tu ne dois pas quitter cette piã¨ce.
2862,he is much smarter than i am .,val,il est bien plus intelligent que je ne le suis.
2863,he is my uncle .,val,c'est mon oncle.
2864,he is a detective .,val,il est dã©tective.
2865,she is always finding fault with other people .,val,elle trouve toujours ã  redire aux autres.
2866,"he is strange , and i do n't like strange people .",val,il est bizarre et je n'aime pas les gens bizarres.
2867,i am too short .,val,je suis trop petit.
2868,i am not accustomed to walking long distances .,test,je ne suis pas habituã©e ã  marcher sur de longues distances.
2869,he is his own master .,test,il est son propre maã®tre.
2870,you are such a liar !,test,tu es une de ces menteuses !
2871,he is as tall as her .,test,il est aussi grand qu'elle.
2872,i am a monk .,test,je suis un moine.
2873,he is giving me a hard time .,test,il se montre difficile avec moi.
2874,you are late .,test,tu es en retard.
2875,she is already married .,test,elle est dã©jã  mariã©e.
2876,you are hearing things .,test,tu entends des choses.
2877,i am weighing myself .,test,je suis en train de me peser.
2878,he is a bad person .,test,c'est une mauvaise personne.
2879,i am an electrician .,test,je suis ã©lectricien.
2880,"you are curious , are n't you ?",test,"vous ãªtes curieuses, heinâ ?"
2881,he is often late for school on mondays .,test,il arrive souvent en retard ã  l'ã©cole le lundi.
2882,they are talking about what they will sing .,test,elles parlent de ce qu'elles vont chanter.
2883,they are about the same age .,test,elles sont ã  peu prã¨s du mãªme ã¢ge.
2884,she is a fox .,test,c'est un renard.
2885,he is very careful .,test,il est trã¨s soigneux.
2886,she is old enough to travel by herself .,test,elle est assez grande pour voyager toute seule.
2887,we are n't doing that anymore .,test,nous ne faisons plus ã§a.
2888,he is leaving narita for hawaii this evening .,test,il quitte narita pour hawaii ce soir.
2889,we are n't sure .,test,nous ne sommes pas sã»rs.
2890,she is kind to him .,test,elle est gentille avec lui.
2891,"you are a good cook , are n't you ?",test,"tu es bon cuisinier, nonâ€¯?"
2892,you are n't my mother .,test,vous n'ãªtes pas ma mã¨re.
2893,i am sick .,test,je suis malade.
2894,"he is my neighbor , but i do n't know him well .",test,"c'est mon voisin, mais je ne le connais pas bien."
2895,he is not old enough to live alone .,test,il n'a pas encore l'ã¢ge d'habiter tout seul.
2896,he is one of the greatest artists in japan .,test,c'est l'un des plus grands artistes au japon.
2897,we are leaving japan tomorrow morning .,test,nous quittons le japon demain matin.
2898,i am wondering if i could be of any service to you .,test,je me demandais si je pouvais vous ãªtre utile.
2899,they are jealous of us .,test,elles sont jalouses de nous.
2900,he is intelligent .,test,il est intelligent.
2901,"you are n't in a hurry , are you ?",test,"tu n'es pas pressã©, si ?"
2902,she is no less charming than her older sister .,test,elle n'est pas moins charmante que sa grande så“ur.
2903,i am listening to country music .,test,j'ã©coute de la musique country.
2904,she is at church right now .,test,elle est ã  l'ã©glise en ce moment.
2905,you are not our friend .,test,tu n'es pas notre ami.
2906,he is a really good worker .,test,c'est vraiment un bon travailleur.
2907,he is the oldest of them all .,test,c'est le plus vieux d'entre eux.
2908,he is off today .,test,"il est en congã©, aujourd'hui."
2909,he is inclined to look at everything from the standpoint of its practicality and is neither stingy nor extravagant .,test,il a tendance ã  considã©rer toute chose sous un angle pratique et n'est ni avare ni prodigue.
2910,they are very interested in astronomy .,test,ils sont trã¨s intã©ressã©s par l'astronomie.
2911,he is there for a few days .,test,il est lã  pour quelques jours.
2912,she is always at the bottom of the class .,test,elle est toujours en queue de classe.
2913,you are late this morning .,test,vous ãªtes en retard ce matin.
2914,you are blinded by love .,test,vous ãªtes aveuglã©e par l'amour.
2915,"he is a nice person , to be sure , but not very clever .",test,"c'est un chic type, assurã©ment, mais pas trã¨s malin."
2916,he is to come to my house tonight .,test,il va venir chez moi ce soir.
2917,he is second to none when it comes to debating .,test,il est imbattable lorsqu'il s'agit de dã©battre.
2918,i am working .,test,je suis en train de travailler.
2919,i am planning to go to europe next week .,test,je prã©vois de me rendre en europe la semaine prochaine.
2920,she is proficient in french .,test,elle maã®trise le franã§ais.
2921,he is about my age .,test,il a ã  peu prã¨s mon ã¢ge.
2922,you are twice as strong as me .,test,vous ãªtes deux fois plus forte que moi.
2923,he is lying on the sofa .,test,il est allongã© sur le canapã©.
2924,i am delighted to be here .,test,je suis enchantã©e d'ãªtre ici.
2925,she is n't running .,test,elle ne court pas.
2926,you are n't ready for this .,test,tu n'es pas prãªte pour ã§a.
2927,you are overworked .,test,tu es surmenã©.
2928,he is an intelligent boy .,test,c'est un garã§on intelligent.
2929,you are too sensitive to criticism .,test,tu es trop sensible ã  la critique.
2930,you are responsible for the result .,test,tu es responsable de ce rã©sultat.
2931,you are very insensitive .,test,vous ãªtes trã¨s indã©licates.
2932,he is afraid to swim .,test,il a peur de nager.
2933,i am very glad school is over .,test,je suis trã¨s content que l'ã©cole soit finie.
2934,he is n't able to buy a car .,test,il est dans l'incapacitã© d'acheter une voiture.
2935,you are n't as short as i am .,test,vous n'ãªtes pas aussi petites que moi.
2936,he is a potential world champion .,test,c'est un champion du monde en puissance.
2937,you are important .,test,tu es important.
2938,i am up to my neck in work .,test,j'ai du travail par-dessus la tãªte.
2939,he is washing a car .,test,il nettoie une voiture.
2940,she is beautiful like her mother .,test,elle est belle comme sa mã¨re.
2941,you are n't as short as me .,test,tu n'es pas aussi petit que moi.
2942,he is my close friend .,test,c'est un ami trã¨s proche.
2943,she is trying to prove the existence of ghosts .,test,elle tente de prouver l'existence de fantã´mes.
2944,i am going to europe next week .,test,je vais en europe la semaine prochaine.
2945,he is about my age .,test,il a environ mon ã¢ge.
2946,he is proud of his collection .,test,il est fier de sa collection.
2947,she is knitting a scarf .,test,elle tricote une ã©charpe.
2948,she is going to have a baby this month .,test,elle va avoir un bã©bã© ce mois-ci.
2949,i am afraid of death .,test,j'ai peur de la mort.
2950,he is a promising young businessman .,test,c'est un jeune homme d'affaires prometteur.
2951,he is in trouble .,test,il a des ennuis.
2952,she is constantly writing letters .,test,elle ã©crit constamment des lettres.
2953,he is the best player on our team .,test,il est le meilleur joueur de notre ã©quipe.
2954,he is fluent in french .,test,il parle le franã§ais couramment.
2955,he is a man of great ability .,test,c'est un homme de grand talent.
2956,he is ashamed of his failure .,test,il a honte de son ã©chec.
2957,i am a very good chess player .,test,je suis un excellent joueur d'ã©checs.
2958,she is really cute .,test,elle est vraiment mignonne.
2959,he is a teacher .,test,il est enseignant.
2960,she is going to wash the bike this afternoon .,test,elle lavera le vã©lo cet aprã¨s-midi.
2961,he is my old friend .,test,c'est mon vieil ami.
2962,he is a member in good standing .,test,c'est un membre estimã©.
2963,you are the chosen one .,test,vous ãªtes l'ã©lue.
2964,he is full of energy .,test,il est plein d'ã©nergie.
2965,he is a sharp-shooter .,test,c'est un tireur d'ã©lite.
2966,you are important .,test,tu es importante.
2967,he is influential .,test,il est influent.
2968,i am badly in need of your help .,test,j'ai vraiment besoin de ton aide.
2969,she is living in the middle of nowhere .,test,elle vit au milieu de nulle part.
2970,he is taller than me by a head .,test,il est plus grand que moi d'une tãªte.
2971,you are under oath .,test,tu es sous serment.
2972,she is as beautiful as snow white .,test,elle est belle comme blanche-neige.
2973,she is my classmate .,test,elle est ma camarade de classe.
2974,he is standing on the hill .,test,il se tient sur la colline.
2975,he is an army officer .,test,il est officier de l'armã©e.
2976,he is my teacher .,test,c'est mon professeur.
2977,he is young .,test,il est jeune.
2978,i am so sick .,test,c'est moi qui suis si malade.
2979,we are both in the same class .,test,nous sommes toutes les deux dans la mãªme classe.
2980,you are the chosen one .,test,tu es l'ã©lu.
2981,she is washing the car .,test,elle est en train de laver la voiture.
2982,she is very thoughtful and patient .,test,elle est vraiment attentive et patiente.
2983,she is related to him by marriage .,test,elle lui est apparentã©e par alliance.
2984,he is angry with you .,test,il est en colã¨re aprã¨s toi.
2985,i am very pleased to hear the news .,test,je suis trã¨s heureux d'entendre la nouvelle.
2986,i am not the captain of the new team .,test,je ne suis pas le capitaine de la nouvelle ã©quipe.
2987,he is likely to have a book and a cracker at his meals -- and then forget to eat the cracker !,test,il a des chances d'avoir un livre et un biscuit pour ses repas...et puis d'oublier de manger le biscuitâ€¯!
2988,they are in the teachers ' room .,test,ils sont en salle des professeurs.
2989,they are artists .,test,elles sont artistes.
2990,i am convinced of his innocence .,test,je suis convaincu de son innocence.
2991,i am a stranger here .,test,je suis ã©tranger ici.
2992,"she is quite pretty , but looks unhealthy .",test,"elle est plutã´t jolie, mais n'a pas l'air en bonne santã©."
2993,he is fluent in french .,test,il parle franã§ais couramment.
2994,they are christians .,test,ce sont des chrã©tiennes.
2995,they are five in all .,test,ils sont cinq en tout.
2996,i am a good boy .,test,je suis un bon garã§on.
2997,we are not too young to tell what love is like .,test,nous ne sommes pas trop jeunes pour dire ã  quoi l'amour ressemble.
2998,i am done teaching .,test,j'ai fini d'enseigner.
2999,he is busy preparing for the entrance examination .,test,il est occupã© ã  prã©parer son examen d'entrã©e.
3000,"i am lost . can you help me , please ?",test,"je suis perdu, pouvez-vous m'aider, s'il vous plaitâ€¯?"
3001,he is twice as heavy as his wife .,test,il est deux fois plus lourd que sa femme.
3002,we are teachers .,test,nous sommes enseignantes.
3003,i am not deaf .,test,je ne suis pas sourd.
3004,you are no longer welcome here .,test,tu n'es plus le bienvenu ici.
3005,they are jealous of our success .,test,ils jalousent notre succã¨s.
3006,she is certainly above forty .,test,elle a certainement plus de quarante ans.
3007,you are not a coward .,test,tu n'es pas un lã¢che.
3008,he is about to leave .,test,il est sur le point de sortir.
3009,you are not supposed to smoke here .,test,vous n'ãªtes pas censã© fumer ici.
3010,you are big .,test,tu es grand.
3011,i am glad to help you .,test,je suis ravie de t'aider.
3012,he is a bit like his father .,test,il est un peu comme son pã¨re.
3013,they are very cheerful .,test,elles sont trã¨s joyeuses.
3014,he is better than me at math .,test,il est meilleur que moi en maths.
3015,they are singers .,test,ils sont chanteurs.
3016,i am happy to see you again .,test,je suis heureux de te revoir.
3017,he is known to the entire country .,test,il est connu dans le pays entier.
3018,he is clever indeed .,test,il est vraiment intelligent.
3019,he is said to have died .,test,on le dit dã©cã©dã©.
3020,"she is likely to refuse to follow his advice , because she does not like him .",test,"il est probable qu'elle refuse de suivre ses conseils, car elle ne l'apprã©cie pas."
3021,you are drunk !,test,tu es bourrã©â€¯!
3022,she is going to learn how to drive .,test,elle va apprendre ã  conduire.
3023,i am sure of her success .,test,je suis sã»r de son succã¨s.
3024,he is used to traveling .,test,il est accoutumã© ã  voyager.
3025,he is watching my every move .,test,il observe mon moindre mouvement.
3026,"he is not fond of sports , and i am not either .",test,il n'aime pas le sport. moi non plus.
3027,he is no friend of mine .,test,ce n'est pas un ami ã  moi.
3028,i am always ready to help you .,test,je t'aide quand tu veux.
3029,he is an experienced teacher .,test,c'est un enseignant expã©rimentã©.
3030,i am a vegetarian .,test,je suis vã©gã©tarienne.
3031,i am going down the stairs .,test,je descends l'escalier.
3032,you are in a safe place .,test,vous ãªtes en lieu sã»r.
3033,they are in the same class .,test,elles sont dans la mãªme classe.
3034,"i am not a doctor , but a teacher .",test,"je ne suis pas mã©decin, mais instituteur."
3035,i am better .,test,je suis mieux.
3036,i am no match for him .,test,je ne peux pas me comparer ã  lui.
3037,she is very angry with me .,test,elle est trã¨s en colã¨re aprã¨s moi.
3038,he is a poet .,test,c'est un poã¨te.
3039,we are studying hard in preparation for the exams .,test,nous ã©tudions beaucoup pour nous prã©parer aux examens.
3040,you are naughty .,test,vous ãªtes vilain.
3041,he is likely to win the game .,test,il a des chances de gagner la partie.
3042,she is a child after all .,test,"c'est une enfant, aprã¨s tout."
3043,i am allowed to swim in the river .,test,je peux nager dans la riviã¨re.
3044,she is shy of strangers .,test,elle est intimidã©e par les ã©trangers.
3045,you are my best friend .,test,tu es mon meilleur ami.
3046,you are hilarious .,test,que vous ãªtes drã´le.
3047,she is well known in both india and china .,test,elle est trã¨s connue ã  la fois en inde et en chine.
3048,i am so sorry .,test,je suis tellement dã©solã©e !
3049,i am in your debt .,test,je suis votre dã©biteur.
3050,"he is , indeed , a man of his word .",test,c'est vraiment un homme de parole.
3051,she is working night and day .,test,elle travaille nuit et jour.
3052,i am ashamed of having been rude to her .,test,j'ai honte d'avoir ã©tã© grossier ã  son ã©gard.
3053,he is unable to buy a car .,test,il est incapable d'acheter une voiture.
3054,i am terribly busy because the report deadline is near .,test,je suis horriblement occupã©e parce que la date limite de remise du rapport approche.
3055,you are always welcome .,test,tu seras toujours la bienvenue.
3056,i am sorry if i disturbed you .,test,je suis dã©solã©e si je t'ai dã©rangã©.
3057,you are good .,test,tu es bonne.
3058,he is eating .,test,il est en train de manger.
3059,he is ready to work .,test,il est prãªt ã  travailler.
3060,he is the greatest scientist that the world has ever produced .,test,il est le plus grand scientifique que la terre ait portã©.
3061,you are n't superstitious by any chance ?,test,vous n'ãªtes pas superstitieux par hasard ?
3062,we are under his command .,test,nous sommes sous son commandement.
3063,i am diabetic .,test,je suis diabã©tique.
3064,i am a stranger here .,test,je suis un ã©tranger ici.
3065,he is coming to see me tomorrow afternoon .,test,il viendra me voir demain aprã¨s-midi.
3066,they are arguing .,test,ils sont en train de se disputer.
3067,he is a good singer .,test,il est bon chanteur.
3068,i am glad to help you .,test,je suis ravie de vous aider.
3069,he is nasty .,test,il est mã©chant.
3070,she is ashamed to speak up .,test,elle a honte de s'exprimer.
3071,he is not honest at all .,test,il n'est pas honnãªte du tout.
3072,he is tremendously handsome .,test,il est extrãªmement beau.
3073,"he is , without question , the best man for the job .",test,"il est, sans conteste, le plus qualifiã© pour ce travail."
3074,he is on another line .,test,il est sur une autre ligne.
3075,he is always looking to the future .,test,il regarde toujours vers l'avenir.
3076,"he is rich , but his older brother is poor .",test,"il est riche, mais son frã¨re ainã© est pauvre."
3077,he is the only child they have .,test,c'est le seul enfant qu'ils aient.
3078,you are a good person .,test,tu es une chouette gonzesse.
3079,"he is a primary school teacher , so he is used to dealing with children .",test,"il est instituteur, alors il sait comment s'y prendre avec les enfants."
3080,he is polite to a fault .,test,il est extrãªmement poli.
3081,you are actresses .,test,vous ãªtes des actrices.
3082,she is powerful .,test,elle est puissante.
3083,he is old enough to drink .,test,il est assez ã¢gã© pour boire.
3084,i am in favor of your proposal .,test,je suis en faveur de votre proposition.
3085,they are chiseling a statue out of marble .,test,ils sculptent une statue de marbre.
3086,she is not going to explain it to them .,test,elle ne va pas le leur expliquer.
3087,she is a really good girl .,test,c'est vraiment une bonne fille.
3088,he is a tough cookie .,test,c'est un emmerdeur.
3089,you are n't supposed to swim here .,test,tu n'es pas censã©e nager ici.
3090,he is eager to go to china .,test,il est dã©sireux d'aller en chine.
3091,he is busy learning english .,test,il est occupã© ã  apprendre l'anglais.
3092,i am surprised to learn this .,test,je suis surpris d'apprendre ã§a.
3093,they are arguing .,test,ils se disputent.
3094,i am dying for a cold drink .,test,je crã¨ve d'envie d'une boisson fraã®che.
3095,he is looking at what used to be my father 's desk .,test,il regarde ce qui fut le bureau de mon pã¨re.
3096,he is not a politician but a lawyer .,test,ce n'est pas un homme politique mais un avocat.
3097,he is a good tennis player .,test,c'est un bon joueur de tennis.
3098,"i am your friend , right ?",test,"je suis bien ton ami, non ?"
3099,i am about to leave here .,test,je suis sur le point de quitter ici.
3100,he is n't actually the manager .,test,il n'est pas vraiment le gã©rant.
3101,i am going to do it whether you agree or not .,test,"je vais le faire, que vous soyez d'accord ou pas."
3102,he is richer than anybody else in town .,test,il est plus riche que qui que ce soit d'autre en ville.
3103,you are n't replaceable .,test,tu n'es pas remplaã§able.
3104,you are taller than she is .,test,tu es plus grand qu'elle.
3105,she is well known both in japan and in america .,test,elle est trã¨s connue ã  la fois au japon et en amã©rique.
3106,we are entering a new phase in the war .,test,nous entrons dans une nouvelle phase de la guerre.
3107,he is running .,test,il court.
3108,she is aggressive .,test,elle est agressive.
3109,he is anything but a gentleman .,test,c'est loin d'ãªtre un gentleman.
3110,i am from norway .,test,je viens de norvã¨ge.
3111,i am afraid he will make a mistake .,test,j'ai peur qu'il commette une erreur.
3112,you are hopeless .,test,tu es impossible.
3113,you are a good person .,test,tu es un mec bien.
3114,she is busy cooking dinner .,test,elle est occupã©e ã  prã©parer le dã®ner.
3115,you are a bit fat .,test,tu es un peu gras.
3116,they are jealous of us .,test,ils sont jaloux de nous.
3117,we are n't as rich as tom .,test,nous ne sommes pas aussi riches que tom.
3118,i am the fastest runner .,test,je suis le coureur le plus rapide.
3119,they are satisfied with the new house .,test,ils sont satisfaits de la nouvelle maison.
3120,we are all happy to help .,test,nous sommes toutes contentes d'aider.
3121,they are talking over a cup of coffee in the cafeteria .,test,"ils parlent autour d'une tasse de cafã©, ã  la cafã©tã©ria."
3122,we are all in the same situation .,test,nous sommes toutes dans la mãªme situation.
3123,i am in the house .,test,je suis dans la maison.
3124,you are n't in any danger .,test,vous n'ãªtes pas en danger.
3125,he is still grappling with religious beliefs .,test,il bataille encore avec les croyances religieuses.
3126,i am very glad to see you .,test,je suis trã¨s heureux de te voir.
3127,i am afraid things will take a turn for the worse .,test,je crains que les choses n'empirent.
3128,you are responsible for what you have done .,test,tu es responsable de ce que tu as fait.
3129,you are not supposed to smoke at school .,test,vous ãªtes supposã©s ne pas fumer ã  l'ã©cole.
3130,he is not what he used to be .,test,il n'est plus ce qu'il ã©tait.
3131,he is the father of two children .,test,il est pã¨re de deux fils.
3132,i am sorry to have kept you waiting so long .,test,je suis dã©solã© de t'avoir fait attendre si longtemps.
3133,i am a student at oxford university .,test,je suis ã©tudiant ã  l'universitã© d'oxford.
3134,i am ashamed of having been rude to her .,test,j'ai honte d'avoir ã©tã© grossier envers elle.
3135,she is n't old enough to get a driver 's license .,test,elle n'est pas assez grande pour obtenir son permis de conduire.
3136,i am delighted to be here .,test,je suis ravi d'ãªtre ici.
3137,you are my friend .,test,tu es mon amie.
3138,you are not to leave this room .,test,vous ne devez pas quitter cette piã¨ce.
3139,he is about my size .,test,il fait ã  peu prã¨s ma taille.
3140,i am in a bind as my money has been stolen .,test,je suis dans le pã©trin car mon argent a ã©tã© volã©.
3141,he is taller than his brother .,test,il est plus grand que son frã¨re.
3142,i am not frightened of anything .,test,je n'ai peur de rien.
3143,"i am no longer young , but i can still bite .",test,"je ne suis plus toute jeune, mais je peux encore mordre."
3144,you are n't yourself today .,test,vous n'ãªtes pas vous-mãªme aujourd'hui.
3145,he is a hard worker .,test,c'est un travailleur appliquã©.
3146,you are good .,test,vous ãªtes bons.
3147,"they are not enemies , but friends .",test,"ce ne sont pas des ennemis, mais des amis."
3148,she is expecting a baby in june .,test,elle attend un bã©bã© pour juin.
3149,you are always as busy as a bee .,test,tu es toujours aussi affairã© qu'une abeille.
3150,you are taller than she is .,test,vous ãªtes plus grands qu'elle.
3151,she is dressed in white .,test,elle est vãªtue de blanc.
3152,you are not permitted to bring dogs into this building .,test,tu n'es pas autorisã© ã  amener des chiens dans ce bã¢timent.
3153,he is busy preparing for the trip .,test,il est occupã© ã  prã©parer son voyage.
3154,he is rich and i am poor .,test,il est riche et je suis pauvre.
3155,he is often absent from school .,test,il est souvent absent de l'ã©cole.
3156,i am too tired to climb .,test,je suis trop fatiguã© pour grimper.
3157,"you are n't afraid of ghosts , are you ?",test,"vous n'avez pas peur des fantã´mes, n'est-ce pas ?"
3158,you are welcome here .,test,tu es le bienvenue.
3159,you are a mean person .,test,vous ãªtes quelqu'un de mã©chant.
3160,she is too young to understand that her father died .,test,elle est trop jeune pour comprendre que son pã¨re est mort.
3161,he is not likely to succeed .,test,il semble probable qu'il ã©choue.
3162,i am often in difficulties .,test,je suis souvent en difficultã©.
3163,i am not sure whether i will be able to come with you .,test,je ne suis pas sã»r de pouvoir venir avec toi.
3164,i am here on business .,test,je suis ici pour affaires.
3165,he is not available .,test,il n'est pas disponible.
3166,we are talking about our friends .,test,nous parlons de nos amis.
3167,he is a pioneer in this field .,test,il est pionnier en ce domaine.
3168,they are always short of money .,test,ils sont toujours ã  court d'argent.
3169,i am talking with tom .,test,je parle avec tom.
3170,she is missing the point .,test,elle est hors sujet.
3171,they are alone .,test,elles sont seules.
3172,she is distantly related to him .,test,elle lui est vaguement apparentã©e.
3173,we are worried about you .,test,nous nous inquiã©tons pour toi.
3174,we are not amused .,test,ã‡a ne nous fait pas rire.
3175,he is fighting with his back against the wall .,test,il se bat le dos au mur.
3176,i am anxious about your health .,test,je suis inquiet pour ta santã©.
3177,you are no longer welcome here .,test,vous n'ãªtes plus les bienvenues ici.
3178,she is aware of my secret plan .,test,elle est au courant de mon projet secret.
3179,they are pilots .,test,elles sont pilotes.
3180,i am leaving at ten o'clock .,test,je partirai ã  dix heures.
3181,i am the happiest man on earth .,test,je suis l'homme le plus heureux de la terre.
3182,i am going to play soccer tomorrow .,test,je prã©vois de jouer au football demain.
3183,he is not kind to her .,test,il n'est pas gentil avec elle.
3184,you are lying .,test,tu es en train de mentir.
3185,he is well-liked .,test,il est bien apprã©ciã©.
3186,you are not supposed to smoke at school .,test,vous ãªtes supposã©es ne pas fumer ã  l'ã©cole.
3187,they are expected any minute now .,test,ils devraient venir d'un moment ã  l'autre.
3188,i am yours and you are mine .,test,je suis vã´tre et vous ãªtes miennes.
3189,i am certain that he will quit his job .,test,je suis sã»r qu'il va dã©missionner.
3190,i am prepared for the worst .,test,je suis prãªt pour le pire.
3191,you are entitled to your opinion .,test,vous avez droit ã  votre opinion.
3192,i am looking forward to seeing you again .,test,je suis impatiente de vous revoir.
3193,she is french .,test,elle est franã§aise.
3194,you are to blame .,test,vous ãªtes responsables.
3195,he is too smart not to know it .,test,il est trop intelligent pour ne pas le savoir.
3196,i am a new student .,test,je suis un nouvel ã©tudiant.
3197,you are n't listening to what i 'm saying .,test,vous n'ã©coutez pas ce que je dis.
3198,you are my pride and joy .,test,tu es ma fiertã© et ma joie.
3199,she is two years older than you .,test,elle est deux ans plus vieille que vous.
3200,he is well acquainted with french literature .,test,il est expert en littã©rature franã§aise.
3201,i am staying for another few weeks .,test,je reste pour quelques autres semaines.
3202,you are nothing but a student .,test,tu n'es qu'un ã©tudiant.
3203,i am not certain about that .,test,je n'en suis pas sã»re.
3204,he is likely to arrive soon .,test,il est probable qu'il arrive bientã´t.
3205,i am terribly busy because the report deadline is near .,test,je suis horriblement occupã© parce que la date limite de remise du rapport approche.
3206,he is eager to go there .,test,il est impatient d'y aller.
3207,she is around twenty years of age .,test,elle a aux alentours de vingt ans.
3208,he is a great scientist .,test,c'est un grand scientifique.
3209,"you are n't ready yet , are you ?",test,"vous n'ãªtes pas encore prãªte, n'est-ce pas ?"
3210,she is late .,test,elle est en retard.
3211,she is used to speaking in public .,test,elle a l'habitude de parler en public.
3212,you are mistaken about that .,test,tu te trompes ã  ce sujet.
